 918    18970                 8   7 03 05 32 +56 42.4 G9.5 III      4.76 +1.02b
 937    19373A   iota   Per  15   5 03 09 04 +49 36.8 G0 V          4.05 +0.59b
 969    20123                 3   6 03 16 12 +50 56.3 G6 Ib-IIa     5.03 +1.15b
 994    20610AB    15   Eri   7   4 03 18 22 -22 30.7 G6 III        4.88 +0.90b*
1004    20729                 6     03 19 35 -24 07.4 M2 III        5.61 +1.666*
1008    20794                 6     03 19 56 -43 04.2 G8 III        4.27 +0.716
1017    20902A  alpha   Per  19  31 03 24 19 +49 51.7 F5 Ib         1.79 +0.48b*
1030    21120   omicr   Tau  10   9 03 24 49 +09 01.7 G6 III        3.60 +0.89b*
1038    21364      xi   Tau   5     03 27 10 +09 44.0 B9 Vn         3.74 -0.096
1052    21552   sigma   Per   7   3 03 30 34 +47 59.7 K3 III        4.36 +1.35b*
1084    22049   epsil   Eri   4     03 32 56 -09 27.5 K2 V          3.73 +0.886
1088    22203     tau5  Eri   7   6 03 33 47 -21 38.0 B8 V+B8 V     4.27 -0.11b
1122    22928A  delta   Per  10   9 03 42 55 +47 47.3 B5 III        3.01 -0.13b*
1135    23230A     nu   Per   1     03 45 12 +42 34.7 F2 II         3.77 +0.426*
1136    23249   delta   Eri   4     03 43 15 -09 45.8 K0 IV         3.54 +0.926*
1162    23614      pi   Eri   6   4 03 46 08 -12 06.1 M2 III        4.42 +1.63b*
1175    23817    beta   Ret   4     03 44 12 -64 48.4 K1-2 III      3.85 +1.136
1203    24398AB  zeta   Per  12  11 03 54 08 +31 53.0 B1 Ib         2.85 +0.12b*
1208    24512   gamma   Hyi   5   7 03 47 15 -74 14.4 M2 III        3.24 +1.62b
1220    24760AB epsil   Per   8   6 03 57 51 +40 00.6 B0.5V+A2V     2.89 -0.18b*
1231    25025A  gamma   Eri  12  30 03 58 02 -13 30.5 M0.5 III      2.95 +1.59b*
1326    26967   alpha   Hor   4     04 14 00 -42 17.7 K1 III        3.86 +1.106
1336    27256A  alpha   Ret   5     04 14 26 -62 28.4 G8 II-III     3.35 +0.916*
1338    27290   gamma   Dor   4     04 16 02 -51 29.2 F4 III        4.25 +0.306*
1346    27371   gamma   Tau   4     04 19 48 +15 37.7 K0 IIIab      3.65 +0.996*
1347    27376   upsil4  Eri  11     04 17 54 -33 47.9 B9 V          3.56 -0.126
1373    27697A  delta1  Tau   5     04 22 56 +17 32.6 K0 III        3.76 +0.986*
1380    27819A  delta2  Tau   4     04 24 06 +17 26.6 A7 V          4.80 +0.156*
1389    27962AB delta3  Tau   4     04 25 29 +17 55.7 A2 IV         4.29 +0.056*
1393    28028      43   Eri   5     04 24 02 -34 01.0 K4 III        3.96 +1.496
1394    28052A     71   Tau   4     04 26 21 +15 37.1 F0 V          4.49 +0.256*
1409    28305A  epsil   Tau   3     04 28 37 +19 10.8 G9.5 III      3.53 +1.016
1411    28307   theta1  Tau   4     04 28 34 +15 57.7 K0 IIIb       3.84 +0.956
1412    28319   theta2  Tau   4     04 28 40 +15 52.3 A7 III        3.40 +0.146*
1427    28527                 3     04 30 34 +16 11.6 A6 IV         4.78 +0.176
1444    28910     rho   Tau   4     04 33 51 +14 50.7 A8 V          4.65 +0.256*
1464    29291   upsil2  Eri   4     04 35 33 -30 33.8 G8 III        3.82 +0.986
1465    29305AB alpha   Dor   3     04 34 00 -55 02.7 A0 III        3.27 -0.106*
1473    29388A     90   Tau   4     04 38 09 +12 30.7 A6 V          4.27 +0.126*
1479    29488   sigma2  Tau   4     04 39 16 +15 55.1 A5 Vn         4.69 +0.156
1481    29503AB    53   Eri   4     04 38 11 -14 18.3 K2 III        3.87 +1.096*
1551    30834       2   Aur   7   2 04 52 38 +36 42.2 K2.5 IIIb     4.78 +1.41b
1560    31109   omega   Eri   3     04 52 54 -05 27.2 F4III+A6III   4.39 +0.256
1577    31398    iota   Aur   6  22 04 57 00 +33 10.0 K3 II         2.69 +1.53b*
1617    32249     psi   Eri   3     05 01 26 -07 10.4 B3 V          4.81 -0.196
1621    32309                 6   3 05 01 26 -20 03.1 B9.5 Vn       4.91 -0.05b
1628    32436                 2     05 02 10 -26 16.5 K1 III        5.02 +1.076
1654    32887   epsil   Lep   4   4 05 05 28 -22 22.3 K5 III        3.19 +1.46b*
1666    33111A   beta   Eri  17  10 05 07 51 -05 05.2 A3 III        2.79 +0.13b*
1696    33802AB  iota   Lep   3     05 12 18 -11 52.2 B8 V          4.45 -0.106*
1705    33949AB kappa   Lep   3     05 13 14 -12 56.5 B9 V          4.36 -0.106*
1708    34029AP alpha   Aur  10 112 05 16 41 +45 59.9 G5III+G0III   0.08 +0.80b*
1713    34085ABC beta   Ori   7  27 05 14 32 -08 12.1 B8 Iae        0.12 -0.03b*
1735    34503A    tau   Ori   5     05 17 36 -06 50.7 B5 III        3.60 -0.116*
1756    34816   lambd   Lep   4     05 19 34 -13 10.6 B0.5 IV       4.29 -0.266
1762    34968AB               7   3 05 20 27 -21 14.4 A0 V          4.71 -0.05b*
1765    35039      22   Ori   3     05 21 46 -00 23.0 B2 IV-V       4.73 -0.176
1770    35149      23   Ori   3     05 22 50 +03 32.7 B1 V          5.00 -0.156
1789    35439     psi1  Ori   2     05 24 45 +01 50.8 B1 Vpe        4.95 -0.206*
1790    35468A  gamma   Ori  17  22 05 25 08 +06 21.0 B2 III        1.64 -0.22b*
1791    35497A   beta   Tau 247 190 05 26 18 +28 36.5 B7 III        1.65 -0.13b*
1810    35708A    114   Tau   3     05 27 38 +21 56.2 B2.5 IV       4.88 -0.156*
1811    35715AB   psi2  Ori   3     05 26 50 +03 05.7 B2 IV         4.59 -0.936*
1829    36079AB  beta   Lep   4   3 05 28 15 -20 45.6 G5 II         2.84 +0.82b*
1834    36167AB    31   Ori   6   4 05 29 44 -01 05.5 K5III+F7V     4.71 +1.57b*
1839    36267AB    32   Ori   3     05 30 47 +05 56.9 B5 V          4.20 -0.146*
1855    36512   upsil   Ori   3     05 31 56 -07 18.1 B0 V          4.62 -0.266
1862    36597   epsil   Col   9     05 31 13 -35 28.2 K1 IIIa       3.87 +1.146
1865    36673A  alpha   Lep   8   7 05 32 44 -17 49.3 F0 Ib         2.58 +0.21b*
1876    36822     phi1  Ori   3     05 34 49 +09 29.4 B0 III        4.41 -0.166
1879/0  36861/2 lambd   Ori   4     05 35 08 +09 56.1 O8e+B0.5V     3.40 -0.166*
1892    37018AB    42   Ori   3     05 35 23 -04 50.3 B1 V          4.59 -0.196*
1899    37043AB  iota   Ori  17   6 05 35 26 -05 54.6 O9 III        2.77 -0.24b*
1928    37438     125   Tau   1     05 39 44 +25 53.8 B3 IV         5.18 -0.156
1931    37468ABDsigma   Ori  10   3 05 38 45 -02 36.0 09.5V+B2V     3.73 -0.24b*
1937    37507      49   Ori   8   4 05 38 53 -07 12.8 A4 V          4.80 +0.13b
1948/9  37742/3  zeta   Ori  11   5 05 40 46 -01 56.6 O9.5Ib+B0III  1.75 -0.19b*
1952    37756                 3     05 40 51 -01 07.7 B2 IV-V       4.95 -0.216*
1956    37795AB alpha   Col   4     05 39 39 -34 04.5 B7 IVe        2.64 -0.126*
1983    38393A  gamma   Lep   5     05 44 28 -22 26.9 F6 V          3.60 +0.476*
1996    38666      mu   Col   3     05 46 00 -32 18.4 O9.5 V        5.17 -0.286*
1998    38678    zeta   Lep   4     05 46 57 -14 49.3 A3 Vn         3.55 +0.106
2004    38771   kappa   Ori   8   7 05 47 45 -09 40.2 B0.5 Ia       2.06 -0.17b*
2020    39060    beta   Pic   4     05 47 17 -51 04.0 A5 V          3.85 +0.176
2035    39364   delta   Lep   3     05 51 19 -20 52.8 G8 III        3.81 +0.996
2040    39425    beta   Col   4     05 50 58 -35 46.1 K2 III        3.12 +1.166
2056    39764   lambd   Col   3     05 53 07 -33 48.1 B5 V          4.87 -0.156*
2095    40312AB theta   Aur  16  13 05 59 43 +37 12.8 A0p+G2V       2.62 -0.08b*
2106    40494A  gamma   Col   3     05 57 32 -35 17.0 B2.5 IV       4.36 -0.186*
2120    40808     eta   Col   4     05 59 09 -42 48.9 K0 III        3.96 +1.146
2128    40967AB     3   Mon   3     06 01 50 -10 35.9 B5 III        4.95 -0.126*
2155    41695   theta   Lep   4     06 06 09 -14 56.1 A1 Vn         4.67 +0.056
2227    43232A  gamma   Mon   3     06 14 51 -06 16.5 K3 III        3.98 +1.326
2244    43445                 3     06 15 45 -13 43.1 B9 Vn         5.01 -0.086
2260    43827                 2   2 06 17 42 -16 49.0 K3 III        5.14 +1.30b*
2282    44402A   zeta   CMa 321  12 06 20 19 -30 03.8 B2.5 V        3.02 -0.19b*
2294    44743A   beta   CMa  12  10 06 22 42 -17 57.4 B1 II-III     1.98 -0.23b*
2296    44762   delta   Col   4     06 22 07 -33 26.2 G7 II         3.85 +0.886
2326    45348   alpha   Car  12   8 06 23 57 -52 41.7 F0 II     -   0.72 +0.15b
2343    45542AA'   nu   Gem   3     06 28 58 +20 12.7 B6 IIIe       4.15 -0.136*
2361    45813   lambd   CMa   4     06 28 10 -32 34.8 B4 V          4.48 -0.176
2421    47105A  gamma   Gem   6   9 06 37 43 +16 24.0 A0 IV         1.93 +0.00b
2429    47205      nu2  CMa   8   3 06 36 41 -19 15.4 K1 III        3.95 +1.06b*
2435    47306                 3     06 34 59 -52 58.5 A0 II         4.39 -0.026
2443    47442      nu3  CMa   4     06 37 53 -18 14.3 K1 III        4.43 +1.156
2451    47670      nu   Pup   4     06 37 46 -43 11.8 B8 III        3.17 -0.116*
2473    48329A  epsil   Gem  12  17 06 43 56 +25 07.9 G8 Ib         2.98 +1.40b*
2478    48433A     30   Gem   3     06 43 59 +13 13.7 K0 III        4.49 +1.166*
2480    48450      28   Gem   2     06 44 45 +28 58.3 K4 III        5.44 +1.456*
2484    48737      xi   Gem   5     06 45 17 +12 53.7 F5 III        3.36 +0.436*
2491    48915AB alpha   CMa  34  43 06 45 09 -16 43.0 A1 Vm     -   1.46 +0.00b*
2533    49968                 2     06 52 00 +23 36.1 K5 III        5.65 +1.456
2550    50241   alpha   Pic   5     06 48 11 -61 56.5 A7 V          3.27 +0.216
2553    50310     tau   Pup   5   9 06 49 56 -50 36.9 K1 III        2.93 +1.20b
2564    50635AB    38   Gem   3     06 54 39 +13 10.7 F0 Vp         4.65 +0.306*
2571    50707      15   CMa   3     06 53 33 -20 13.5 B1 IV         4.83 -0.216*
2590    51199AB    pi   CMa   3     06 55 37 -20 08.2 gF2           4.68 +0.376*
2609    51802                 2     07 40 31 +87 01.2 M2 IIIab      5.07 +1.636*
2618    52089AB epsil   CMa   4  12 06 58 38 -28 58.3 B2 II         1.50 -0.21b*
2619    52092                 3     06 58 25 -34 06.7 B3 V          5.06 -0.166
2646    52877AB sigma   CMa   4   5 07 01 43 -27 56.1 K7 Ib         3.47 +1.73b*
2653    53138   omicr2  CMa   4   4 07 03 01 -23 50.0 B3 Iab        3.02 -0.08b
2657    53244   gamma   CMa   4     07 03 45 -15 38.0 B8 II         4.12 -0.126
2693    54605   delta   CMa   4   5 07 08 23 -26 23.6 F8 Ia         1.84 +0.68b*
2736/5  55865/4  gam1,2 Vol   4     07 08 45 -70 30.0 K0 III        3.62 +0.896*
2773    56855A     pi   Pup   4  10 07 17 09 -37 05.9 K3 Ib         2.70 +1.62b*
2782    57061ABP  tau   CMa   3     07 18 43 -24 57.3 O9 Ib         4.40 -0.156*
2803    57623   delta   Vol   4     07 16 50 -67 57.5 F6 II         3.98 +0.796
2827    58350A    eta   CMa   3   3 07 24 06 -29 18.2 B5 Ia         2.45 -0.08b
2878    59717A  sigma   Pup   4  16 07 29 14 -43 18.1 K5 III        3.25 +1.51b*
2890/1  60178/9 alpha   Gem  10   5 07 34 36 +31 53.3 A2Vm+A1IV     1.57 +0.04b*
2905    60522A  upsil   Gem   5   7 07 35 55 +26 53.7 M0III-IIIb    4.06 +1.54b*
2922    60863A                5     07 35 23 -28 22.2 B8 V          4.64 -0.116*
2943    61421AB alpha   CMi  22  11 07 39 18 +05 13.5 F5 IV-V       0.38 +0.42b*
2944    61429AB               3     07 38 18 -25 21.9 B8 IV         4.70 -0.116*
2948/9  61555/6               2     07 38 50 -26 48.2 B6V+B5IVn     3.82 -0.166*
2961    61831                 3     07 39 27 -38 18.5 B2.5 V        4.84 -0.196
2970    61935   alpha   Mon   4     07 41 15 -09 33.1 K0 III        3.93 +1.026
2985    62345AB kappa   Gem   4   6 07 44 27 +24 23.9 G8 IIIa       3.57 +0.93b*
2990    62509A   beta   Gem  22 106 07 45 19 +28 01.6 K0 IIIb       1.14 +1.00b*
2996    62623       3   Pup   4     07 43 48 -28 57.3 A2 Iabe       3.96 +0.186
3017    63032       c   Pup   4   7 07 45 15 -37 58.1 K2.5 Ib-II    3.61 +1.73b*
3024    63295AB  zeta   Vol   4     07 41 49 -72 36.4 K0 III        3.95 +1.046*
3034    63462A  omicr   Pup   3     07 48 05 -25 56.2 B0 V:pe:      4.50 -0.056*
3045    63700AB    xi   Pup   4     07 49 18 -24 51.6 G3 Ib         3.34 +1.246*
3059    63975    zeta   CMi   3     07 51 42 +01 46.0 B8 II         5.14 -0.126
3080    64440                 4     07 52 13 -40 34.6 K1-2 IIa      3.73 +1.046
3089    64740                 4     07 53 04 -49 36.8 B1.5 Vp       4.63 -0.236
3090    64760                 5     07 53 18 -48 06.2 B0.5 Ib       4.24 -0.146
3102    65228      11   Pup   3     07 56 52 -22 52.8 F7 II         4.20 +0.726
3116    65551                 4     07 57 19 -44 06.6 B2.5 IV       5.09 -0.176
3117    65575     chi   Car   4     07 56 47 -52 58.9 B3 IVp        3.47 -0.186*
3159    66591                 1     08 00 20 -63 34.1 B3 V          4.82 -0.176
